_	114783
a	74024
i	72927
e	48055
t	44288
l	41024
n	38727
r	31361
u	27446
m	24242
o	23648
s	23624
a__	21740
a_	21740
a___	21740
a____	21740
k	18725
j	18279
d	17193
i__	16131
i_	16131
i____	16131
i___	16131
ħ	14883
u___	12651
u_	12651
u____	12651
u__	12651
b	12574
f	11663
ta	11642
g	10958
n____	10231
n_	10231
n__	10231
n___	10231
_t	10198
ie	10192
li	10171
h	9970
p	9588
w	8869
t__	8404
t_	8404
t___	8404
t____	8404
in	8403
_l	8015
_m	7872
en	7862
al	7809
ti	7768
ar	7497
ħa	7396
_i	7259
għ	7247
_k	6197
ra	6027
an	5975
il	5833
li___	5754
li_	5754
li__	5754
_j	5720
l___	5538
l_	5538
l__	5538
l____	5538
x	5522
is	5494
_ta	5483
er	5481
ma	5446
'	5308
et	5216
_li	5131
ll	5100
_f	5060
at	5035
ni	5016
q	4974
mi	4946
z	4905
ż	4897
ġ	4848
r____	4757
r___	4757
r_	4757
r__	4757
on	4707
st	4586
ja	4468
ji	4449
ri	4433
nt	4421
_s	4418
_b	4329
_u	4313
na	4034
s__	3758
it	3758
s_	3758
s____	3758
s___	3758
el	3701
għa	3685
_li_	3651
_li__	3651
la	3634
v	3572
ki	3554
m____	3546
m_	3546
m___	3546
m__	3546
tt	3525
d____	3511
d_	3511
d___	3511
d__	3511
_u___	3493
_u__	3493
_u_	3493
'____	3451
'___	3451
'_	3451
'__	3451
a'	3351
a'___	3343
a'_	3343
a'__	3343
_d	3321
di	3279
da	3277
ik	3276
ċ	3275
ien	3270
ss	3261
te	3248
_mi	3234
ko	3174
_g	3154
or	3004
e_	3003
e____	3003
e__	3003
e___	3003
re	2977
ol	2956
me	2944
em	2926
c	2800
_ji	2799
_ma	2786
_a	2770
es	2769
bi	2769
et_	2768
et___	2768
et__	2768
_ki	2763
ra_	2737
ra___	2737
ra__	2737
ta___	2663
ta_	2663
ta__	2663
_għ	2641
x__	2623
x___	2623
x____	2623
x_	2623
ta'	2620
le	2618
ta'__	2616
ta'_	2616
_h	2606
M	2564
ed	2523
ma__	2515
ma_	2515
ma___	2515
si	2513
fi	2494
_għa	2492
_p	2453
kie	2453
ħal	2432
se	2422
om	2410
kien	2392
ka	2385
_ta'	2374
wa	2373
nn	2373
_ta'_	2370
en_	2369
en__	2369
I	2369
en___	2369
lu	2365
ti__	2364
ti_	2364
ti___	2364
ja___	2313
ja_	2313
ja__	2313
_kie	2291
_kien	2266
jo	2262
ha	2238
_M	2237
ist	2231
min	2208
un	2198
ij	2186
id	2174
ar__	2166
ar___	2166
ar_	2166
ku	2141
ien__	2086
ien_	2086
ne	2082
he	2079
na_	2073
na___	2073
na__	2073
mm	2057
ni__	2040
ni___	2040
ni_	2040
am	2025
in__	2004
in___	2004
in_	2004
ent	1993
ur	1993
de	1984
tu	1976
_I	1962
_n	1936
ir	1928
k___	1926
k__	1926
k_	1926
k____	1926
_w	1925
ej	1924
im	1924
ew	1902
nd	1894
jon	1863
_ħ	1853
_min	1843
_il	1840
ba	1807
_ti	1806
ru	1794
iet	1789
ad	1780
sa	1770
ab	1745
zz	1740
S	1737
tr	1735
aw	1729
oni	1724
ali	1714
ro	1680
je	1678
rt	1676
zj	1674
ag	1669
pa	1665
hu	1660
inn	1631
as	1614
al_	1601
al___	1601
al__	1601
’	1597
w____	1591
w_	1591
w__	1591
w___	1591
_bi	1586
iet_	1583
iet__	1583
_r	1572
ed__	1563
ed_	1563
ed___	1563
pe	1555
D	1553
_o	1532
joni	1530
qa	1523
_S	1511
kk	1508
